Local time,Open,High,Low,Close,Volume
18.04.2024 23:30:00.000 GMT+0530,1.06485,1.06495,1.06421,1.06452,6722.04
19.04.2024 00:30:00.000 GMT+0530,1.06452,1.06484,1.06427,1.06438,4456.1899
19.04.2024 01:30:00.000 GMT+0530,1.06437,1.06459,1.06415,1.06440,2218.8501
19.04.2024 02:30:00.000 GMT+0530,1.06442,1.06460,1.06437,1.06442,2643.6799
19.04.2024 03:30:00.000 GMT+0530,1.06443,1.06447,1.06407,1.06408,738.94
19.04.2024 04:30:00.000 GMT+0530,1.06408,1.06441,1.06403,1.06426,2005.14
19.04.2024 05:30:00.000 GMT+0530,1.06425,1.06448,1.06362,1.06388,6628.7002
19.04.2024 06:30:00.000 GMT+0530,1.06387,1.06401,1.06136,1.06189,16056
19.04.2024 07:30:00.000 GMT+0530,1.06190,1.06241,1.06107,1.06183,17305.6992
19.04.2024 08:30:00.000 GMT+0530,1.06178,1.06407,1.06153,1.06373,16334.7002
19.04.2024 09:30:00.000 GMT+0530,1.06373,1.06434,1.06339,1.06349,5932.96
19.04.2024 10:30:00.000 GMT+0530,1.06349,1.06410,1.06297,1.06311,4804.3999
19.04.2024 11:30:00.000 GMT+0530,1.06310,1.06495,1.06273,1.06450,12711.6201
19.04.2024 12:30:00.000 GMT+0530,1.06451,1.06595,1.06440,1.06555,20924.7891
19.04.2024 13:30:00.000 GMT+0530,1.06555,1.06555,1.06433,1.06458,10547.7197
19.04.2024 14:30:00.000 GMT+0530,1.06457,1.06623,1.06452,1.06591,11357.79
19.04.2024 15:30:00.000 GMT+0530,1.06590,1.06592,1.06470,1.06475,8018.4902
19.04.2024 16:30:00.000 GMT+0530,1.06475,1.06554,1.06432,1.06519,8241.6602
19.04.2024 17:30:00.000 GMT+0530,1.06520,1.06739,1.06497,1.06656,14428.9004
19.04.2024 18:30:00.000 GMT+0530,1.06655,1.06757,1.06589,1.06659,17634.6094
19.04.2024 19:30:00.000 GMT+0530,1.06657,1.06777,1.06639,1.06697,15549.1104
19.04.2024 20:30:00.000 GMT+0530,1.06696,1.06720,1.06537,1.06550,8486.6396
19.04.2024 21:30:00.000 GMT+0530,1.06549,1.06599,1.06404,1.06535,11690.5498
19.04.2024 22:30:00.000 GMT+0530,1.06537,1.06586,1.06511,1.06559,7614.98
19.04.2024 23:30:00.000 GMT+0530,1.06558,1.06558,1.06467,1.06508,8533.5098
20.04.2024 00:30:00.000 GMT+0530,1.06507,1.06555,1.06499,1.06549,6822.2002
20.04.2024 01:30:00.000 GMT+0530,1.06549,1.06580,1.06533,1.06578,4105.0801
22.04.2024 02:30:00.000 GMT+0530,1.06577,1.06651,1.06523,1.06584,1072.67
22.04.2024 03:30:00.000 GMT+0530,1.06584,1.06620,1.06549,1.06593,2082.9399
22.04.2024 04:30:00.000 GMT+0530,1.06593,1.06613,1.06576,1.06576,1940.29
22.04.2024 05:30:00.000 GMT+0530,1.06578,1.06651,1.06529,1.06535,4762.0801
22.04.2024 06:30:00.000 GMT+0530,1.06535,1.06698,1.06535,1.06683,6712.7002
22.04.2024 07:30:00.000 GMT+0530,1.06684,1.06708,1.06641,1.06642,1805.17
22.04.2024 08:30:00.000 GMT+0530,1.06641,1.06646,1.06606,1.06619,2196.79
22.04.2024 09:30:00.000 GMT+0530,1.06618,1.06688,1.06616,1.06654,2989.3401
22.04.2024 10:30:00.000 GMT+0530,1.06655,1.06661,1.06621,1.06639,1972.02
22.04.2024 11:30:00.000 GMT+0530,1.06638,1.06695,1.06606,1.06641,5702.3901
22.04.2024 12:30:00.000 GMT+0530,1.06641,1.06680,1.06526,1.06586,9833.8896
22.04.2024 13:30:00.000 GMT+0530,1.06585,1.06625,1.06475,1.06570,8686.0596
22.04.2024 14:30:00.000 GMT+0530,1.06568,1.06621,1.06490,1.06516,7515.0498
22.04.2024 15:30:00.000 GMT+0530,1.06515,1.06552,1.06476,1.06507,5797.0898
22.04.2024 16:30:00.000 GMT+0530,1.06506,1.06510,1.06331,1.06353,6448.27
22.04.2024 17:30:00.000 GMT+0530,1.06352,1.06441,1.06310,1.06399,8301
22.04.2024 18:30:00.000 GMT+0530,1.06398,1.06411,1.06241,1.06334,9358.96
22.04.2024 19:30:00.000 GMT+0530,1.06334,1.06479,1.06329,1.06451,8939.04
22.04.2024 20:30:00.000 GMT+0530,1.06451,1.06481,1.06408,1.06472,5117.4102
22.04.2024 21:30:00.000 GMT+0530,1.06473,1.06510,1.06463,1.06489,4267.1499
22.04.2024 22:30:00.000 GMT+0530,1.06489,1.06578,1.06482,1.06574,4893.79
22.04.2024 23:30:00.000 GMT+0530,1.06575,1.06608,1.06543,1.06587,4173.29
23.04.2024 00:30:00.000 GMT+0530,1.06587,1.06587,1.06507,1.06520,5179.25
23.04.2024 01:30:00.000 GMT+0530,1.06520,1.06555,1.06506,1.06544,2855.78
23.04.2024 02:30:00.000 GMT+0530,1.06559,1.06570,1.06519,1.06525,1574.59
23.04.2024 03:30:00.000 GMT+0530,1.06525,1.06553,1.06525,1.06545,1184.3
23.04.2024 04:30:00.000 GMT+0530,1.06544,1.06560,1.06526,1.06539,1676.1
23.04.2024 05:30:00.000 GMT+0530,1.06540,1.06595,1.06540,1.06588,3239.9199
23.04.2024 06:30:00.000 GMT+0530,1.06588,1.06606,1.06535,1.06543,4301.8901
23.04.2024 07:30:00.000 GMT+0530,1.06542,1.06608,1.06538,1.06585,2483.54
23.04.2024 08:30:00.000 GMT+0530,1.06587,1.06590,1.06547,1.06562,3108.5701
23.04.2024 09:30:00.000 GMT+0530,1.06563,1.06584,1.06543,1.06552,1955.86
23.04.2024 10:30:00.000 GMT+0530,1.06551,1.06551,1.06497,1.06511,2981.0801
23.04.2024 11:30:00.000 GMT+0530,1.06510,1.06510,1.06386,1.06453,7098.1299
23.04.2024 12:30:00.000 GMT+0530,1.06452,1.06953,1.06437,1.06801,15674.8096
23.04.2024 13:30:00.000 GMT+0530,1.06788,1.06833,1.06694,1.06708,11029.5703
23.04.2024 14:30:00.000 GMT+0530,1.06709,1.06709,1.06563,1.06594,6873.8301
23.04.2024 15:30:00.000 GMT+0530,1.06595,1.06629,1.06534,1.06552,7590.96
23.04.2024 16:30:00.000 GMT+0530,1.06551,1.06781,1.06550,1.06747,11990
23.04.2024 17:30:00.000 GMT+0530,1.06748,1.06770,1.06641,1.06721,9608.3398
23.04.2024 18:30:00.000 GMT+0530,1.06722,1.07100,1.06601,1.07015,16987.4805
23.04.2024 19:30:00.000 GMT+0530,1.07015,1.07114,1.06907,1.06985,24951.6797
23.04.2024 20:30:00.000 GMT+0530,1.06986,1.07036,1.06901,1.06947,14446.7002
23.04.2024 21:30:00.000 GMT+0530,1.06948,1.07025,1.06925,1.07000,7271.6899
23.04.2024 22:30:00.000 GMT+0530,1.07001,1.07078,1.06994,1.07050,4985.3799
23.04.2024 23:30:00.000 GMT+0530,1.07051,1.07076,1.07020,1.07040,3015.4399
24.04.2024 00:30:00.000 GMT+0530,1.07042,1.07056,1.07020,1.07030,5009.0298
24.04.2024 01:30:00.000 GMT+0530,1.07029,1.07034,1.07003,1.07013,1735.67
24.04.2024 02:30:00.000 GMT+0530,1.07013,1.07061,1.07012,1.07032,1083.6899
24.04.2024 03:30:00.000 GMT+0530,1.07033,1.07050,1.07011,1.07035,1205.2
24.04.2024 04:30:00.000 GMT+0530,1.07035,1.07037,1.06998,1.07026,2654.1299
24.04.2024 05:30:00.000 GMT+0530,1.07026,1.07107,1.07004,1.07097,3874.9199
24.04.2024 06:30:00.000 GMT+0530,1.07097,1.07145,1.07078,1.07100,7731.8398
24.04.2024 07:30:00.000 GMT+0530,1.07099,1.07133,1.07078,1.07102,3040.3999
24.04.2024 08:30:00.000 GMT+0530,1.07103,1.07110,1.07044,1.07063,2714.8201
24.04.2024 09:30:00.000 GMT+0530,1.07064,1.07090,1.07053,1.07054,1986.34
24.04.2024 10:30:00.000 GMT+0530,1.07054,1.07057,1.07004,1.07013,2298.6101
24.04.2024 11:30:00.000 GMT+0530,1.07014,1.07055,1.06923,1.06947,5263.7002
24.04.2024 12:30:00.000 GMT+0530,1.06945,1.06963,1.06850,1.06886,8648.9805
24.04.2024 13:30:00.000 GMT+0530,1.06883,1.06926,1.06809,1.06835,6815.9199
24.04.2024 14:30:00.000 GMT+0530,1.06836,1.06911,1.06835,1.06839,4702.04
24.04.2024 15:30:00.000 GMT+0530,1.06839,1.06920,1.06838,1.06885,4998.02
24.04.2024 16:30:00.000 GMT+0530,1.06885,1.06900,1.06835,1.06892,5802.6201
24.04.2024 17:30:00.000 GMT+0530,1.06893,1.06931,1.06782,1.06869,14511.8604
24.04.2024 18:30:00.000 GMT+0530,1.06867,1.06995,1.06842,1.06936,11391.1797
24.04.2024 19:30:00.000 GMT+0530,1.06935,1.07026,1.06858,1.06882,9817.2402
24.04.2024 20:30:00.000 GMT+0530,1.06881,1.06914,1.06811,1.06865,8817.7402
24.04.2024 21:30:00.000 GMT+0530,1.06864,1.06912,1.06835,1.06906,6668.3301
24.04.2024 22:30:00.000 GMT+0530,1.06906,1.06976,1.06899,1.06961,4992.0601
24.04.2024 23:30:00.000 GMT+0530,1.06962,1.06969,1.06871,1.06934,5886.5898
25.04.2024 00:30:00.000 GMT+0530,1.06932,1.07067,1.06922,1.07008,4749.9902
25.04.2024 01:30:00.000 GMT+0530,1.07008,1.07008,1.06969,1.06991,2924.8301
25.04.2024 02:30:00.000 GMT+0530,1.06997,1.07011,1.06968,1.06981,2009.03
25.04.2024 03:30:00.000 GMT+0530,1.06979,1.07026,1.06946,1.06975,1514.6899
25.04.2024 04:30:00.000 GMT+0530,1.06975,1.07003,1.06968,1.07002,2936.45
25.04.2024 05:30:00.000 GMT+0530,1.07002,1.07048,1.06992,1.07035,4489.3701
25.04.2024 06:30:00.000 GMT+0530,1.07035,1.07090,1.06971,1.07072,5052.98
25.04.2024 07:30:00.000 GMT+0530,1.07067,1.07089,1.07044,1.07075,3043.53
25.04.2024 08:30:00.000 GMT+0530,1.07073,1.07082,1.07036,1.07061,2361.6101
25.04.2024 09:30:00.000 GMT+0530,1.07062,1.07100,1.07054,1.07092,1521.84
25.04.2024 10:30:00.000 GMT+0530,1.07094,1.07132,1.07079,1.07123,2965.05
25.04.2024 11:30:00.000 GMT+0530,1.07124,1.07278,1.07116,1.07206,8096.2798
25.04.2024 12:30:00.000 GMT+0530,1.07207,1.07238,1.07116,1.07211,12717.4199
25.04.2024 13:30:00.000 GMT+0530,1.07211,1.07290,1.07202,1.07258,7820.2002
25.04.2024 14:30:00.000 GMT+0530,1.07257,1.07287,1.07214,1.07269,5158.5
25.04.2024 15:30:00.000 GMT+0530,1.07269,1.07299,1.07224,1.07248,4946.5601
25.04.2024 16:30:00.000 GMT+0530,1.07249,1.07299,1.07173,1.07203,3730.4099
25.04.2024 17:30:00.000 GMT+0530,1.07203,1.07406,1.06857,1.06922,30393.6504
25.04.2024 18:30:00.000 GMT+0530,1.06924,1.07040,1.06786,1.07008,32397.4004
25.04.2024 19:30:00.000 GMT+0530,1.07009,1.07209,1.06928,1.07120,21640.9902
25.04.2024 20:30:00.000 GMT+0530,1.07118,1.07217,1.07079,1.07205,10121.1602
25.04.2024 21:30:00.000 GMT+0530,1.07203,1.07352,1.07151,1.07313,5333.0298
25.04.2024 22:30:00.000 GMT+0530,1.07314,1.07389,1.07295,1.07303,7196.2998
25.04.2024 23:30:00.000 GMT+0530,1.07304,1.07304,1.07231,1.07275,7901.3101
26.04.2024 00:30:00.000 GMT+0530,1.07274,1.07348,1.07271,1.07295,4319.3999
26.04.2024 01:30:00.000 GMT+0530,1.07293,1.07309,1.07288,1.07305,2456.1201
26.04.2024 02:30:00.000 GMT+0530,1.07307,1.07308,1.07289,1.07294,868.05
26.04.2024 03:30:00.000 GMT+0530,1.07293,1.07309,1.07283,1.07294,1138.29
26.04.2024 04:30:00.000 GMT+0530,1.07293,1.07304,1.07266,1.07268,2229.8899
26.04.2024 05:30:00.000 GMT+0530,1.07269,1.07281,1.07230,1.07275,4229.7798
26.04.2024 06:30:00.000 GMT+0530,1.07271,1.07294,1.07239,1.07271,5871.1899
26.04.2024 07:30:00.000 GMT+0530,1.07271,1.07286,1.07187,1.07231,4244.3901
26.04.2024 08:30:00.000 GMT+0530,1.07230,1.07256,1.07188,1.07233,5189.3198
26.04.2024 09:30:00.000 GMT+0530,1.07232,1.07235,1.07213,1.07226,1823.0601
26.04.2024 10:30:00.000 GMT+0530,1.07225,1.07275,1.07216,1.07263,3775.1799
26.04.2024 11:30:00.000 GMT+0530,1.07261,1.07388,1.07259,1.07355,7739.1201
26.04.2024 12:30:00.000 GMT+0530,1.07354,1.07365,1.07260,1.07296,10212.0996
26.04.2024 13:30:00.000 GMT+0530,1.07296,1.07530,1.07286,1.07410,19163.5195
26.04.2024 14:30:00.000 GMT+0530,1.07410,1.07435,1.07308,1.07361,7266.6299
26.04.2024 15:30:00.000 GMT+0530,1.07360,1.07372,1.07265,1.07282,5089.46
26.04.2024 16:30:00.000 GMT+0530,1.07279,1.07346,1.07152,1.07159,5238.3198
26.04.2024 17:30:00.000 GMT+0530,1.07159,1.07419,1.07104,1.07164,23394.1797
26.04.2024 18:30:00.000 GMT+0530,1.07166,1.07240,1.07064,1.07079,21862.9004
26.04.2024 19:30:00.000 GMT+0530,1.07078,1.07117,1.06763,1.06800,22148.0391
26.04.2024 20:30:00.000 GMT+0530,1.06799,1.06906,1.06740,1.06856,13090.0898
26.04.2024 21:30:00.000 GMT+0530,1.06856,1.06966,1.06840,1.06946,4495.02
26.04.2024 22:30:00.000 GMT+0530,1.06947,1.06982,1.06932,1.06942,3082.6201
26.04.2024 23:30:00.000 GMT+0530,1.06942,1.07058,1.06938,1.07056,3987.8
27.04.2024 00:30:00.000 GMT+0530,1.07057,1.07073,1.06968,1.07000,4957.0298
27.04.2024 01:30:00.000 GMT+0530,1.06999,1.07019,1.06912,1.06957,4935.2998
29.04.2024 02:30:00.000 GMT+0530,1.06993,1.07025,1.06950,1.06962,273.75
29.04.2024 03:30:00.000 GMT+0530,1.06962,1.07039,1.06947,1.07022,1957.85
29.04.2024 04:30:00.000 GMT+0530,1.07021,1.07072,1.07006,1.07071,2770.8999
29.04.2024 05:30:00.000 GMT+0530,1.07071,1.07111,1.07063,1.07099,6880.71
29.04.2024 06:30:00.000 GMT+0530,1.07101,1.07159,1.07077,1.07146,9704.9199
29.04.2024 07:30:00.000 GMT+0530,1.07145,1.07201,1.07130,1.07176,3886.8401
29.04.2024 08:30:00.000 GMT+0530,1.07177,1.07184,1.07149,1.07163,2833.26
29.04.2024 09:30:00.000 GMT+0530,1.07163,1.07336,1.07147,1.07292,16784.9199
29.04.2024 10:30:00.000 GMT+0530,1.07291,1.07339,1.07240,1.07258,7150.2998
29.04.2024 11:30:00.000 GMT+0530,1.07257,1.07289,1.07149,1.07156,6769.0601
29.04.2024 12:30:00.000 GMT+0530,1.07155,1.07255,1.07085,1.07178,22440.3203
29.04.2024 13:30:00.000 GMT+0530,1.07174,1.07250,1.07014,1.07048,15795.3096
29.04.2024 14:30:00.000 GMT+0530,1.07048,1.07191,1.06975,1.07149,8111.1802
29.04.2024 15:30:00.000 GMT+0530,1.07150,1.07197,1.07124,1.07175,4735.0698
29.04.2024 16:30:00.000 GMT+0530,1.07176,1.07274,1.07122,1.07148,4886.98
29.04.2024 17:30:00.000 GMT+0530,1.07148,1.07237,1.07023,1.07036,9176.0801
29.04.2024 18:30:00.000 GMT+0530,1.07036,1.07071,1.06903,1.06991,16536.5898
29.04.2024 19:30:00.000 GMT+0530,1.06992,1.07136,1.06991,1.07129,10410.5898
29.04.2024 20:30:00.000 GMT+0530,1.07130,1.07210,1.07122,1.07168,6480.7202
29.04.2024 21:30:00.000 GMT+0530,1.07168,1.07292,1.07161,1.07260,8708.2998
29.04.2024 22:30:00.000 GMT+0530,1.07261,1.07297,1.07214,1.07218,4932.9902
29.04.2024 23:30:00.000 GMT+0530,1.07217,1.07254,1.07181,1.07247,6199.2798
30.04.2024 00:30:00.000 GMT+0530,1.07247,1.07247,1.07152,1.07212,6547.2202
30.04.2024 01:30:00.000 GMT+0530,1.07212,1.07232,1.07197,1.07211,2282.5801
30.04.2024 02:30:00.000 GMT+0530,1.07214,1.07238,1.07204,1.07213,660.77
30.04.2024 03:30:00.000 GMT+0530,1.07214,1.07230,1.07172,1.07174,739.41
30.04.2024 04:30:00.000 GMT+0530,1.07175,1.07195,1.07143,1.07150,3887.1299
30.04.2024 05:30:00.000 GMT+0530,1.07150,1.07177,1.07103,1.07152,5699.02
30.04.2024 06:30:00.000 GMT+0530,1.07153,1.07182,1.07071,1.07071,3928.5701
30.04.2024 07:30:00.000 GMT+0530,1.07071,1.07077,1.07032,1.07067,7424.8901
30.04.2024 08:30:00.000 GMT+0530,1.07067,1.07076,1.07027,1.07056,4102.3901
30.04.2024 09:30:00.000 GMT+0530,1.07056,1.07061,1.07025,1.07058,4141.4302
30.04.2024 10:30:00.000 GMT+0530,1.07059,1.07070,1.06953,1.06994,3729.6799
30.04.2024 11:30:00.000 GMT+0530,1.06994,1.07063,1.06900,1.07051,8651.3896
30.04.2024 12:30:00.000 GMT+0530,1.07051,1.07101,1.07019,1.07055,9669.6699
30.04.2024 13:30:00.000 GMT+0530,1.07054,1.07125,1.06930,1.07115,5578
30.04.2024 14:30:00.000 GMT+0530,1.07116,1.07348,1.07110,1.07270,8672.5303
30.04.2024 15:30:00.000 GMT+0530,1.07269,1.07354,1.07228,1.07284,6466.02
30.04.2024 16:30:00.000 GMT+0530,1.07283,1.07283,1.07196,1.07203,7575.4302
30.04.2024 17:30:00.000 GMT+0530,1.07200,1.07241,1.06899,1.07005,22609.2695
30.04.2024 18:30:00.000 GMT+0530,1.07006,1.07150,1.06942,1.07060,19428.8809
30.04.2024 19:30:00.000 GMT+0530,1.07060,1.07196,1.06872,1.06911,21166.8203
30.04.2024 20:30:00.000 GMT+0530,1.06912,1.06991,1.06833,1.06838,16092.04
30.04.2024 21:30:00.000 GMT+0530,1.06838,1.06869,1.06761,1.06790,8859.9902
30.04.2024 22:30:00.000 GMT+0530,1.06791,1.06832,1.06753,1.06803,4726
30.04.2024 23:30:00.000 GMT+0530,1.06804,1.06828,1.06762,1.06782,4346.54
01.05.2024 00:30:00.000 GMT+0530,1.06782,1.06807,1.06719,1.06727,4654.6802
01.05.2024 01:30:00.000 GMT+0530,1.06726,1.06736,1.06651,1.06661,3804.0701
01.05.2024 02:30:00.000 GMT+0530,1.06666,1.06750,1.06661,1.06702,1312.51
01.05.2024 03:30:00.000 GMT+0530,1.06689,1.06702,1.06660,1.06678,1380.79
01.05.2024 04:30:00.000 GMT+0530,1.06677,1.06677,1.06656,1.06662,2029.72
01.05.2024 05:30:00.000 GMT+0530,1.06662,1.06673,1.06582,1.06617,2652.1699
01.05.2024 06:30:00.000 GMT+0530,1.06619,1.06633,1.06593,1.06608,1991.51
01.05.2024 07:30:00.000 GMT+0530,1.06607,1.06607,1.06574,1.06589,1750.14
01.05.2024 08:30:00.000 GMT+0530,1.06589,1.06592,1.06560,1.06567,2641.1499
01.05.2024 09:30:00.000 GMT+0530,1.06568,1.06571,1.06550,1.06560,1499.53
01.05.2024 10:30:00.000 GMT+0530,1.06558,1.06570,1.06542,1.06554,1589.91
